#Data tag : online , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(/fb),recorded(/fb),avgpu,source
402816:11589,58:58,04/11/26 18:55:06,STABLE BEAMS,6799,0.000040298,0.000039397,5.0,HFET
402816:11589,59:59,04/11/26 18:55:29,STABLE BEAMS,6799,0.000039695,0.000038834,4.9,HFET
402816:11589,60:60,04/11/26 18:55:53,STABLE BEAMS,6799,0.000040188,0.000039227,5.0,HFET
402816:11589,61:61,04/11/26 18:56:16,STABLE BEAMS,6799,0.000039973,0.000039095,5.0,HFET
402816:11589,62:62,04/11/26 18:56:39,STABLE BEAMS,6799,0.000040040,0.000039156,5.0,HFET
402816:11589,63:63,04/11/26 18:57:02,STABLE BEAMS,6799,0.000039737,0.000038867,5.0,HFET
402816:11589,64:64,04/11/26 18:57:26,STABLE BEAMS,6799,0.000039717,0.000038846,5.0,HFET
402816:11589,65:65,04/11/26 18:57:49,STABLE BEAMS,6799,0.000039573,0.000038714,4.9,HFET
402816:11589,66:66,04/11/26 18:58:12,STABLE BEAMS,6799,0.000039681,0.000038249,4.9,HFET
402816:11589,67:67,04/11/26 18:58:36,STABLE BEAMS,6799,0.000039139,0.000038295,4.9,HFET
402816:11589,68:68,04/11/26 18:58:59,STABLE BEAMS,6799,0.000039019,0.000038181,4.9,HFET
402816:11589,69:69,04/11/26 18:59:22,STABLE BEAMS,6799,0.000040217,0.000039335,5.0,HFET
402816:11589,70:70,04/11/26 18:59:46,STABLE BEAMS,6799,0.000040513,0.000039607,5.1,HFET
402816:11589,71:71,04/11/26 19:00:09,STABLE BEAMS,6799,0.000040489,0.000039584,5.0,HFET
402816:11589,72:72,04/11/26 19:00:32,STABLE BEAMS,6799,0.000040495,0.000039587,5.0,HFET
402816:11589,73:73,04/11/26 19:00:56,STABLE BEAMS,6799,0.000040629,0.000039712,5.1,HFET
402816:11589,74:74,04/11/26 19:01:19,STABLE BEAMS,6799,0.000040789,0.000039872,5.1,HFET
402816:11589,75:75,04/11/26 19:01:42,STABLE BEAMS,6799,0.000040255,0.000039356,5.0,HFET
402816:11589,76:76,04/11/26 19:02:05,STABLE BEAMS,6799,0.000040520,0.000039615,5.1,HFET
402816:11589,77:77,04/11/26 19:02:29,STABLE BEAMS,6799,0.000040696,0.000039792,5.1,HFET
402816:11589,78:78,04/11/26 19:02:52,STABLE BEAMS,6799,0.000040546,0.000039642,5.1,HFET
402816:11589,79:79,04/11/26 19:03:15,STABLE BEAMS,6799,0.000040356,0.000038885,5.0,HFET
402816:11589,80:80,04/11/26 19:03:39,STABLE BEAMS,6799,0.000040449,0.000039547,5.0,HFET
402816:11589,81:81,04/11/26 19:04:02,STABLE BEAMS,6799,0.000040556,0.000039655,5.1,HFET
402816:11589,82:82,04/11/26 19:04:25,STABLE BEAMS,6799,0.000040147,0.000039269,5.0,HFET
402816:11589,83:83,04/11/26 19:04:49,STABLE BEAMS,6799,0.000040113,0.000039223,5.0,HFET
402816:11589,84:84,04/11/26 19:05:12,STABLE BEAMS,6799,0.000040110,0.000039226,5.0,HFET
402816:11589,85:85,04/11/26 19:05:35,STABLE BEAMS,6799,0.000039760,0.000038889,5.0,HFET
402816:11589,86:86,04/11/26 19:05:59,STABLE BEAMS,6799,0.000039620,0.000038774,4.9,HFET
402816:11589,87:87,04/11/26 19:06:22,STABLE BEAMS,6799,0.000039696,0.000038835,4.9,HFET
402816:11589,88:88,04/11/26 19:06:45,STABLE BEAMS,6799,0.000039742,0.000038879,5.0,HFET
402816:11589,89:89,04/11/26 19:07:09,STABLE BEAMS,6799,0.000039694,0.000038838,4.9,HFET
402816:11589,90:90,04/11/26 19:07:32,STABLE BEAMS,6799,0.000039229,0.000038395,4.9,HFET
402816:11589,91:91,04/11/26 19:07:55,STABLE BEAMS,6799,0.000039361,0.000038506,4.9,HFET
402816:11589,92:92,04/11/26 19:08:19,STABLE BEAMS,6799,0.000039701,0.000038265,4.9,HFET
402816:11589,93:93,04/11/26 19:08:42,STABLE BEAMS,6799,0.000040150,0.000039265,5.0,HFET
402816:11589,94:94,04/11/26 19:09:05,STABLE BEAMS,6799,0.000040483,0.000039599,5.0,HFET
402816:11589,95:95,04/11/26 19:09:28,STABLE BEAMS,6799,0.000041048,0.000040125,5.1,HFET
402816:11589,96:96,04/11/26 19:09:52,STABLE BEAMS,6799,0.000041075,0.000040141,5.1,HFET
402816:11589,97:97,04/11/26 19:10:15,STABLE BEAMS,6799,0.000040661,0.000039745,5.1,HFET
402816:11589,98:98,04/11/26 19:10:38,STABLE BEAMS,6799,0.000041036,0.000040109,5.1,HFET
402816:11589,99:99,04/11/26 19:11:02,STABLE BEAMS,6799,0.000041485,0.000040539,5.2,HFET
402816:11589,100:100,04/11/26 19:11:25,STABLE BEAMS,6799,0.000040643,0.000039735,5.1,HFET
402816:11589,101:101,04/11/26 19:11:48,STABLE BEAMS,6799,0.000040027,0.000039136,5.0,HFET
402816:11589,102:102,04/11/26 19:12:12,STABLE BEAMS,6799,0.000039765,0.000038889,5.0,HFET
402816:11589,103:103,04/11/26 19:12:35,STABLE BEAMS,6799,0.000039561,0.000038694,4.9,HFET
402816:11589,104:104,04/11/26 19:12:58,STABLE BEAMS,6799,0.000039353,0.000038501,4.9,HFET
402816:11589,105:105,04/11/26 19:13:22,STABLE BEAMS,6799,0.000039529,0.000038117,4.9,HFET
402816:11589,106:106,04/11/26 19:13:45,STABLE BEAMS,6799,0.000039437,0.000038585,4.9,HFET
402816:11589,107:107,04/11/26 19:14:08,STABLE BEAMS,6799,0.000039218,0.000038371,4.9,HFET
402816:11589,108:108,04/11/26 19:14:31,STABLE BEAMS,6799,0.000039267,0.000038420,4.9,HFET
